text,daily_usage_hours,sleep_hours,anxiety_level,concentration_level,emotional_state,addiction_level
I cannot stop scrolling reels and short videos.,1001.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1002.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1003.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1004.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1005.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1006.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1007.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1008.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1009.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1010.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1011.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1012.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1013.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1014.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1015.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1016.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1017.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1018.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1019.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,1020.0,5,High,Low,Stressed,High
I use social media occasionally.,1.0,7,Low,High,Calm,Low
I use social media occasionally.,2.0,7,Low,High,Calm,Low
I use social media occasionally.,3.0,7,Low,High,Calm,Low
I spend several hours daily on social media.,4.0,6,Medium,Medium,Neutral,Medium
I spend several hours daily on social media.,5.0,6,Medium,Medium,Neutral,Medium
I spend several hours daily on social media.,6.0,6,Medium,Medium,Neutral,Medium
I cannot stop scrolling reels and short videos.,7.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,8.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,9.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,10.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,11.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,12.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,13.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,14.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,15.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,16.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,17.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,18.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,19.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,20.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,21.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,22.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,23.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,24.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,25.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,26.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,27.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,28.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,29.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,30.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,31.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,32.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,33.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,34.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,35.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,36.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,37.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,38.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,39.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,40.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,41.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,42.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,43.0,5,High,Low,Stressed,High
I cannot stop scrolling reels and short videos.,44.0,5,High,Low,Stressed,High
